"es_questionnaire_id","Usage_num_int_all","Usage_sum_duration","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","Usage_quadratic","Nonusage_num_int_all","Nonusage_sum_duration","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","Nonusage_quadratic","user_id","valence"
1,4,331.560999631882,9.69349992275238,3,1,0,0.875472415653389,3,3268.43900036812,837.484000205994,1,1,1,0.505155852907192,1002,5
2,5,157.835999965668,31.4630000591278,5,0,0,0.304900422254145,4,3442.16400003433,495.56299996376,1,2,1,0.491228448207388,1002,5
3,4,3356.6139998436,598.90449988842,2,1,1,0.479922980987576,4,243.386000156403,47.7035001516342,4,0,0,0.355055437130016,1002,4
4,13,1012.37000083923,35.8090000152588,12,1,0,0.238804342638226,12,2587.62999916077,61.5699999332428,9,3,0,0.278946214074081,1002,5
1,2,854.884999513626,427.442499756813,1,1,0,0.927886486731947,2,2745.11500048637,1372.55750024319,1,0,1,0.872930695232783,1003,4
2,2,283.117000341415,141.558500170708,2,0,0,0.521551747731299,2,3316.88299965858,1658.44149982929,0,2,0,0.500087590805689,1003,4
3,1,27.9090001583099,27.9090001583099,1,0,0,1,1,3572.09099984169,3572.09099984169,0,0,1,1,1003,4
4,2,213.080000162125,106.540000081062,2,0,0,0.503190845700872,2,3386.91999983788,1693.45999991894,0,1,1,0.525839429321395,1003,4
5,3,726.760999917984,36.9409999847412,2,1,0,0.870168601218174,3,2873.23900008202,1148.73299980164,1,2,0,0.49932453730944,1003,4
6,3,592.223999738693,156.40399980545,2,1,0,0.584620894051615,3,3007.77600026131,1185.76200008392,0,3,0,0.375694241974972,1003,4
7,2,1254.58299994469,627.291499972343,1,1,0,0.992318800350617,1,2345.41700005531,2345.41700005531,0,0,1,1,1003,3
8,1,4.95000004768372,4.95000004768372,1,0,0,1,1,3595.04999995232,3595.04999995232,0,0,1,1,1003,4
9,1,24.7479999065399,24.7479999065399,1,0,0,1,1,3575.25200009346,3575.25200009346,0,0,1,1,1003,5
10,2,661.346999645233,330.673499822617,1,1,0,0.98345504990979,2,2938.65300035477,1469.32650017738,1,0,1,0.840134049267025,1003,3
11,1,41.4609999656677,41.4609999656677,1,0,0,1,1,3558.53900003433,3558.53900003433,0,0,1,1,1003,4
12,1,3.92599987983704,3.92599987983704,1,0,0,1,1,3596.07400012016,3596.07400012016,0,0,1,1,1003,4
13,0,0,0,0,0,0,1,1,3600,3600,0,0,1,1,1003,3
1,6,266.771999835968,35.9620000123978,6,0,0,0.306312465516959,6,3333.22800016403,269.493499994278,3,3,0,0.363492508996378,1005,5
2,2,29.3250002861023,14.6625001430511,2,0,0,0.503132162403897,2,3570.6749997139,1785.33749985695,1,0,1,0.882813572111896,1005,5
3,2,23.3770000934601,11.68850004673,2,0,0,0.504170500734552,2,3576.62299990654,1788.31149995327,0,1,1,0.762188807081754,1005,5
4,1,14.5709998607635,14.5709998607635,1,0,0,1,1,3585.42900013924,3585.42900013924,0,0,1,1,1005,5
5,1,8.74600005149841,8.74600005149841,1,0,0,1,1,3591.2539999485,3591.2539999485,0,0,1,1,1005,5
6,3,112.81200003624,44.441999912262,3,0,0,0.426624093016874,3,3487.18799996376,220.487999916077,2,0,1,0.800835551551285,1005,5
7,2,101.236999750137,50.6184998750687,2,0,0,0.510221829338312,2,3498.76300024986,1749.38150012493,0,1,1,0.740988909456926,1005,5
1,7,263.09299993515,13.835000038147,7,0,0,0.360248134313987,7,3336.90700006485,477.680999755859,1,6,0,0.175195877835314,1007,4
2,4,234.799999713898,27.1329998970032,4,0,0,0.550556767610247,3,3365.2000002861,522.694000244141,1,1,1,0.615771617811062,1007,6
3,5,196.64599943161,11.1169998645782,5,0,0,0.578230791765639,5,3403.35400056839,259.892000198364,3,1,1,0.451006608337469,1007,6
4,4,43.5189995765686,11.4859999418259,4,0,0,0.278728133121703,4,3556.48100042343,612.330500125885,1,2,1,0.438103793404152,1007,6
5,1,6.33599996566772,6.33599996566772,1,0,0,1,1,3593.66400003433,3593.66400003433,0,0,1,1,1007,5
6,3,589.912999868393,68.4789998531342,2,1,0,0.677922702289897,3,3010.08700013161,616.901000022888,0,2,1,0.447179550390402,1007,6
7,12,674.844999790192,37.2005000114441,12,0,0,0.125964678150011,12,2925.15500020981,207.922000050545,9,3,0,0.177342354642031,1007,6
8,8,378.775999307632,51.1804999113083,8,0,0,0.161583985532891,8,3221.22400069237,109.827500104904,5,2,1,0.428966781668203,1007,6
1,3,86.1809997558594,15.9179997444153,3,0,0,0.654788280485281,3,3513.81900024414,912.40700006485,0,2,1,0.499835878401766,1010,4
2,3,117.040999650955,31.6259999275208,3,0,0,0.561871813740211,3,3482.95900034904,1563.89100027084,1,2,0,0.437640265144767,1010,4
3,3,62.6439998149872,19.5629999637604,3,0,0,0.385161502218224,3,3537.35600018501,578.723000049591,1,1,1,0.679981400222288,1010,5
4,2,53.7099997997284,26.8549998998642,2,0,0,0.906593445869142,2,3546.29000020027,1773.14500010014,0,1,1,0.753965242266614,1010,5
5,9,797.791000127792,105.999000072479,9,0,0,0.139713607108378,9,2802.20899987221,94.7430000305176,6,3,0,0.288001093536408,1010,5
1,6,315.870000600815,25.6460001468658,6,0,0,0.366341818397841,6,3284.12999939919,306.665000081062,3,3,0,0.312864129953164,1011,4
2,3,145.77699971199,54.3589997291565,3,0,0,0.446610902114015,3,3454.22300028801,638.203999996185,1,1,1,0.666816382202228,1011,5
3,3,50.5429999828339,3.625,3,0,0,0.752893679587014,3,3549.45700001717,789.37299990654,0,2,1,0.507020119420502,1011,5
4,8,244.648000001907,11.0774999856949,8,0,0,0.453019076163794,8,3355.35199999809,178.460499882698,5,3,0,0.327263061149101,1011,5
5,1,140.523999929428,140.523999929428,1,0,0,1,1,3459.47600007057,3459.47600007057,0,0,1,1,1011,4
6,1,87.6350002288818,87.6350002288818,1,0,0,1,1,3512.36499977112,3512.36499977112,0,0,1,1,1011,5
7,2,8.27999997138977,4.13999998569489,2,0,0,0.581358371138648,2,3591.72000002861,1795.86000001431,1,0,1,0.996857158890821,1011,5
8,6,99.7720005512238,6.95800018310547,6,0,0,0.41659280023705,6,3500.22799944878,121.836999773979,4,1,1,0.657255368611597,1011,3
9,1,14.3629999160767,14.3629999160767,1,0,0,1,1,3585.63700008392,3585.63700008392,0,0,1,1,1011,5
10,4,71.3619999885559,17.0390000343323,4,0,0,0.413311984174314,5,3528.63800001144,776.221999883652,1,4,0,0.247357097055841,1011,4
11,1,76.3090000152588,76.3090000152588,1,0,0,1,2,3523.69099998474,1761.84549999237,0,1,1,0.733247998057453,1011,5
12,6,202.401000022888,6.38650000095367,6,0,0,0.415057195183298,6,3397.59899997711,607.378499984741,1,5,0,0.229079433817118,1011,3
13,3,18.3400001525879,3.39199995994568,3,0,0,0.533511028401196,3,3581.65999984741,1000.48199987411,0,2,1,0.462812668331999,1011,3
1,4,95.2660005092621,16.3910001516342,4,0,0,0.391160025530329,4,3504.73399949074,661.531999826431,1,2,1,0.453493529230592,1017,2
2,2,2461.22499990463,1230.61249995232,1,0,1,0.9588109475611,1,1138.77500009537,1138.77500009537,0,1,0,1,1017,3
3,2,2252.14200019836,1126.07100009918,1,0,1,0.98693105717484,2,1347.85799980164,673.928999900818,1,1,0,0.864674010158097,1017,5
4,0,0,0,0,0,0,1,1,3600,3600,0,0,1,1,1017,4
1,19,304.099000453949,5.25499987602234,19,0,0,0.255008711481627,19,3295.90099954605,99.7950000762939,14,5,0,0.103119052249081,1018,5
2,3,1609.56900000572,7.20300006866455,2,1,0,0.984503764375756,3,1990.43099999428,80.6719999313354,2,0,1,0.896251390449041,1018,5
3,2,69.8889997005463,34.9444998502731,2,0,0,0.94074266626645,2,3530.11100029945,1765.05550014973,1,0,1,0.977170005071449,1018,5
4,2,39.0329999923706,19.5164999961853,2,0,0,0.833389586759532,2,3560.96700000763,1780.48350000381,1,0,1,0.994074332134511,1018,5
5,1,5.2039999961853,5.2039999961853,1,0,0,1,1,3594.79600000381,3594.79600000381,0,0,1,1,1018,5
6,6,2424.84500050545,14.921000123024,5,0,1,0.934706120083521,5,1175.15499949455,83.9129998683929,3,2,0,0.392097944111332,1018,5
