"TST","Usage_quadratic","Usage_num_int_all","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","TWT","TNST","Nonusage_quadratic","Nonusage_num_int_all","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","user_id","Mean_flour","PA_PANAVA","NA_PANAVA","VA_PANAVA"
12099.6089997292,0.204709874336647,14,325.828999996185,7,6,2,17.05,47103.903501153,0.180983588964517,14.5,1864.40075016022,2,4.5,7,1003,4.375,3.25,3.75,3.5
2230.09199953079,0.101874698107938,19,57.8639998435974,18,2,0,17.1666666666667,60791.3830001354,0.137902187043801,24,1536.30700016022,5,7,10,1005,5.625,6,1.75,6
6899.30200076103,0.119720442683409,35,51.3269999027252,31,4,0,15.5666666666667,51322.4479995966,0.107663003293319,37,375.50200009346,16.5,11.5,10.5,1007,6.625,6,1.25,7
3886.54149949551,0.0919069600361583,43.5,21.7677500247955,41,3,0,16.85,55299.6640012264,0.0669629099613752,40,393.294000029564,17,11,10,1011,4,4.75,2.25,5.5
6893.78900051117,0.219480657225772,14,51.2865000963211,9,4,1,15.7833333333333,46146.2109994888,0.245008631509123,20,222.468499898911,11,3,6,1018,5.375,3.75,3.5,2.5
9286.67849946022,0.100849205482225,58,21.8522498607635,52,7.5,0.5,14.8166666666667,46256.1419992447,0.0528611894232158,56,414.551999807358,27,26,6,1019,6.625,6.5,1.25,7
16854.8265001774,0.170820271353243,31.5,16.792749941349,23,4,3,17.15,44382.3489990234,0.12920681317313,32,357.902000188828,13,11,7,1035,6,5,2.75,5.5
26291.8390004635,0.156521508743074,35,140.605499863625,23,7,4,18.3166666666667,40333.9750003815,0.0717496524133635,36,694.62600004673,14,17,8,1041,4,3.5,5,4
11011.3190014362,0.142372182651169,31,106.822000026703,21,9,1,15.5,44026.7320001125,0.104649033062054,32,529.891000032425,12,11,7,1049,4,3.5,2.75,5
5879.24999904633,0.0488651146753691,97,17.2430000305176,96,5,0,16.6666666666667,54627.5490007401,0.0308883335465127,86.5,408.95625013113,34.5,43.5,6.5,1053,3.75,4.25,5,3.5
