"es_questionnaire_id","Usage_num_int_all","Usage_sum_duration","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","Usage_quadratic","Nonusage_num_int_all","Nonusage_sum_duration","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","Nonusage_quadratic","user_id","valence"
1,3,2330.72399997711,848.393000125885,1,2,0,0.526349532250437,2,1269.27600002289,634.638000011444,0,2,0,0.556153823288131,1003,4
2,2,1734.83999991417,867.419999957085,1,1,0,0.937829927115537,1,1865.16000008583,1865.16000008583,0,0,1,1,1003,5
3,3,1620.4470000267,491.341000080109,1,2,0,0.533686645957792,3,1979.5529999733,520.227000236511,1,2,0,0.535682012522546,1003,4
4,1,3600,3600,0,0,1,1,0,0,0,0,0,0,1,1003,5
5,2,444.163000106812,222.081500053406,2,0,0,0.504380341579612,2,3155.83699989319,1577.91849994659,0,1,1,0.649050387156579,1003,5
6,3,58.7739999294281,18.1499998569489,3,0,0,0.364349594703965,3,3541.22600007057,1448.40199995041,1,1,1,0.515777001346612,1003,5
7,2,19.6749999523163,9.83749997615814,2,0,0,0.591942567298707,2,3580.32500004768,1790.16250002384,0,1,1,0.587697993831234,1003,4
8,1,7.7279999256134,7.7279999256134,1,0,0,1,1,3592.27200007439,3592.27200007439,0,0,1,1,1003,5
9,1,7.72699975967407,7.72699975967407,1,0,0,1,1,3592.27300024033,3592.27300024033,0,0,1,1,1003,5
10,2,24.0550000667572,12.0275000333786,2,0,0,0.552476955369305,2,3575.94499993324,1787.97249996662,0,1,1,0.574567124711177,1003,5
11,1,11.2269999980927,11.2269999980927,1,0,0,1,1,3588.77300000191,3588.77300000191,0,0,1,1,1003,4
12,0,0,0,0,0,0,1,1,3600,3600,0,0,1,1,1003,5
1,2,183.109999895096,91.5549999475479,2,0,0,0.837149147278469,2,3416.8900001049,1708.44500005245,0,1,1,0.639501438572832,1005,6
2,2,45.0390000343323,22.5195000171661,2,0,0,0.663778642258543,2,3554.96099996567,1777.48049998283,0,1,1,0.702146359648941,1005,5
3,3,79.3869998455048,15.7049999237061,3,0,0,0.628112429896476,3,3520.6130001545,1403.35100007057,0,3,0,0.37438162668304,1005,5
4,1,25.0529999732971,25.0529999732971,1,0,0,1,1,3574.9470000267,3574.9470000267,0,0,1,1,1005,5
5,2,197.934000015259,98.9670000076294,2,0,0,0.855731938465201,2,3402.06599998474,1701.03299999237,1,0,1,0.974217681720908,1005,5
6,2,193.831000328064,96.915500164032,2,0,0,0.654232466202151,2,3406.16899967194,1703.08449983597,0,1,1,0.733049952002294,1005,5
7,1,106.929999828339,106.929999828339,1,0,0,1,1,3493.07000017166,3493.07000017166,0,0,1,1,1005,5
8,2,385.389999866486,192.694999933243,2,0,0,0.601559078643532,2,3214.61000013351,1607.30500006676,0,1,1,0.802831633000969,1005,5
9,1,40.680999994278,40.680999994278,1,0,0,1,1,3559.31900000572,3559.31900000572,0,0,1,1,1005,5
10,3,471.126000404358,214.527000188828,3,0,0,0.492709762379627,3,3128.87399959564,37.8469998836517,2,0,1,0.967034011721811,1005,5
11,3,198.292999744415,11.1929998397827,3,0,0,0.802989952405279,3,3401.70700025558,1099.75699996948,0,3,0,0.394191856282945,1005,5
1,7,358.09500002861,52.6740000247955,7,0,0,0.195144180165951,6,3241.90499997139,44.3574999570847,4,1,1,0.475496528194797,1011,4
2,2,69.1260001659393,34.5630000829697,2,0,0,0.924319761814246,2,3530.87399983406,1765.43699991703,0,1,1,0.757923172813407,1011,5
3,1,12.3150000572205,12.3150000572205,1,0,0,1,1,3587.68499994278,3587.68499994278,0,0,1,1,1011,4
4,5,81.5030002593994,5.4060001373291,5,0,0,0.364741901762109,5,3518.4969997406,508.110999822617,2,2,1,0.501486312153694,1011,4
5,3,30.1709997653961,9.47799968719482,3,0,0,0.341704987297786,3,3569.8290002346,702.03200006485,1,1,1,0.586552222722861,1011,4
6,3,27.6679999828339,5.2979998588562,3,0,0,0.512795387901674,3,3572.33200001717,1281.88599991798,1,1,1,0.480550242280264,1011,4
7,6,241.863999605179,8.94649982452393,6,0,0,0.60634307668428,5,3358.13600039482,744.496000051498,1,4,0,0.294372789298572,1011,4
8,4,121.265999555588,16.9504998922348,4,0,0,0.532025087412645,4,3478.73400044441,1093.09200000763,1,3,0,0.326183437357883,1011,3
9,4,1589.89000034332,8.83100008964539,3,1,0,0.972548710448782,4,2010.10999965668,289.765499830246,2,2,0,0.568303866711243,1011,6
10,1,15.6479997634888,15.6479997634888,1,0,0,1,1,3584.35200023651,3584.35200023651,0,0,1,1,1011,4
11,3,70.8310000896454,30.4869999885559,3,0,0,0.468984525252,3,3529.16899991035,1426.69000005722,0,3,0,0.3763292055939,1011,2
12,7,818.203999996185,9.20000004768372,6,1,0,0.37714597128263,7,2781.79600000381,352.15499997139,2,5,0,0.213857629870173,1011,3
13,3,11.1890001296997,3.80800008773804,3,0,0,0.340271097304361,3,3588.8109998703,574.901999950409,1,1,1,0.713219609908175,1011,6
1,2,13.7669997215271,6.88349986076355,2,0,0,0.502685801975782,2,3586.23300027847,1793.11650013924,0,1,1,0.715084989351421,1017,1
2,4,1131.17200016975,62.8474999666214,3,1,0,0.79109514588516,4,2468.82799983025,270.451500058174,2,1,1,0.646625357885132,1017,6
3,3,87.2030003070831,7.59300017356873,3,0,0,0.766635371625705,3,3512.79699969292,799.129999876022,1,1,1,0.537221658771674,1017,5
4,3,188.773000001907,5.72300004959106,3,0,0,0.906913428712408,3,3411.22699999809,314.017999887466,1,1,1,0.690653556470055,1017,5
5,3,685.556000232697,10.2850000858307,2,1,0,0.965775543858533,3,2914.4439997673,194.128000020981,2,0,1,0.871813932631541,1017,5
6,1,46.1530001163483,46.1530001163483,1,0,0,1,1,3553.84699988365,3553.84699988365,0,0,1,1,1017,4
7,1,3600,3600,0,0,1,1,0,0,0,0,0,0,1,1017,5
8,3,1487.52800011635,84.8110001087189,2,1,0,0.887179241915788,3,2112.47199988365,887.414999961853,1,2,0,0.409421268218178,1017,4
9,1,152.43499994278,152.43499994278,1,0,0,1,1,3447.56500005722,3447.56500005722,0,0,1,1,1017,4
10,2,3442.11599969864,1721.05799984932,1,0,1,0.992885694163373,1,157.884000301361,157.884000301361,1,0,0,1,1017,4
11,1,3600,3600,0,0,1,1,0,0,0,0,0,0,1,1017,6
12,1,3600,3600,0,0,1,1,0,0,0,0,0,0,1,1017,3
